movie,processed_movie,expanded-genres,Associated Music Genres
   Easy A (2010),easy a,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Prom (2020),the prom,,
   Pink Floyd: The Wall,pink floyd: the wall,"Drama, Fantasy, Music","jazz,piano,funk,pop,epic-fantasy,soundtrack,indie-pop,folk,singer-songwriter,acoustic,ambient,world-music,alternative,blues,hip-hop,rock,r-n-b,indie,soul"
   Better Watch Out,better watch out,"Comedy, Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   Paddington (2014),paddington,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Hillbilly Elegy (2020),hillbilly elegy,,
   The Mule (2018),the mule,"Crime, Drama, Thriller","acoustic,piano,reggae,ambient,dubstep,singer-songwriter,synthwave,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,dark-ambient,chill,electronic,indie"
   Prozac Nation (2001),prozac nation,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Rosemary’s Baby (1968),rosemary’s baby,,
   Source Code (2011),source code,"Action, Drama, Mystery","piano,downtempo,indie-pop,rock,dubstep,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,hard-rock,metal,chill,electronic,punk,drum-and-bass,alternative,indie"
   Always Be My Maybe,always be my maybe,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Bumblebee (2018),bumblebee,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   War for the Planet of the Apes (2017),war for the planet of the apes,"Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   Casablanca (1942),casablanca,"Drama, Romance, War","acoustic,piano,folk,patriotic,punk,romantic,pop,singer-songwriter,soundtrack,rock,indie-pop,alternative,metal,world-music,r-n-b,indie,soul"
   Fury (2014),fury,"Action, Drama, War","acoustic,piano,punk,patriotic,dubstep,hard-rock,alternative,soundtrack,singer-songwriter,indie-pop,drum-and-bass,rock,metal,world-music,electronic,indie"
   Nosferatu: A Symphony of Horror (1922),nosferatu: a symphony of horror,,
   Rocketman (2019),rocketman,"Biography, Drama, Musical","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,dance,r-n-b,indie,musical-theatre,soul"
   Moonstruck (1987),moonstruck,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Maleficent (2014),maleficent,"Adventure, Family, Fantasy","acoustic,folk,ambient,upbeat,children,pop,epic-fantasy,singer-songwriter,soundtrack,kids,new-age,alternative,world-music,rock,fun"
   Nappily Ever After (2018),nappily ever after,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Halloween 2018 Timeline,halloween 2018 timeline,,
   The Fly (1986),the fly,"Drama, Horror, Sci-Fi","piano,indie-pop,darkwave,synth-pop,singer-songwriter,synthwave,retro,noise,dark-ambient,acoustic,ambient,space,metal,chill,electronic,alternative,rock,indie,industrial"
   Norbit (2007),norbit,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Orphan (2009),orphan,"Horror, Mystery, Thriller","darkwave,chill,ambient,dubstep,synthwave,downtempo,drum-and-bass,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Lolita (1962),lolita,"Crime, Drama, Romance","piano,pop,indie-pop,folk,dubstep,singer-songwriter,grime,acoustic,reggae,trap,electronic,alternative,romantic,drum-and-bass,hip-hop,rock,r-n-b,indie,soul"
   Amélie (2001),amélie,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Hook (1991),hook,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   Contagion (2011),contagion,"Drama, Sci-Fi","acoustic,piano,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,alternative,chill,electronic,indie"
   The Bridge on the River Kwai (1957),the bridge on the river kwai,"Adventure, Drama, War","acoustic,indie,folk,ambient,piano,patriotic,punk,soundtrack,singer-songwriter,indie-pop,new-age,alternative,metal,world-music,rock"
   The Apartment (1960),the apartment,"Drama, Mystery, Romance","piano,pop,downtempo,indie-pop,folk,singer-songwriter,synthwave,dark-ambient,trip-hop,acoustic,ambient,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
   Monster House (2006),monster house,"Animation, Comedy, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
   Bad Neighbors (2014),bad neighbors,,
   Due Date (2010),due date,,
   Eat Pray Love,eat pray love,"Biography, Drama, Romance","acoustic,country,folk,piano,pop,romantic,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   P.S. I Love You (2007),p.s. i love you,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Blind Side,the blind side,"Biography, Drama, Sport","acoustic,country,folk,piano,edm,pop,singer-songwriter,rock,indie-pop,pump-up,hip-hop,alternative,dance,electronic,indie"
   Irrational Man (2015),irrational man,"Comedy, Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Downfall (2004),downfall,"Action, Drama","acoustic,piano,punk,dubstep,hard-rock,alternative,singer-songwriter,indie-pop,drum-and-bass,rock,metal,electronic,indie"
   Her (2013),her,"Drama, Romance, Sci-Fi","piano,pop,indie-pop,folk,synth-pop,singer-songwriter,synthwave,retro,acoustic,ambient,space,chill,electronic,alternative,romantic,rock,r-n-b,indie,soul"
"   Love, Guaranteed","love, guaranteed","Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   Cool Cat Saves the Kids (2015),cool cat saves the kids,Family,"folk,children,pop,singer-songwriter,kids,upbeat,fun"
   Nezha (2019),nezha,"Drama, Family","acoustic,piano,folk,children,pop,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,indie,fun"
   The Birdcage (1996),the birdcage,,
   We Need to Talk About Kevin (2011),we need to talk about kevin,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   Almost Famous (2000),almost famous,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Midsommar (2019),midsommar,"Drama, Horror, Mystery","acoustic,darkwave,piano,ambient,chill,metal,singer-songwriter,synthwave,rock,indie-pop,downtempo,noise,alternative,dark-ambient,trip-hop,electronic,indie,industrial"
   A Little Princess (1995),a little princess,"Drama, Family, Fantasy","acoustic,piano,folk,ambient,children,pop,epic-fantasy,singer-songwriter,soundtrack,rock,indie-pop,kids,world-music,alternative,upbeat,indie,fun"
   Donnie Darko (2001),donnie darko,"Drama, Mystery, Sci-Fi","acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
   Punch-Drunk Love (2002),punch-drunk love,,
   127 Hours (2010),127 hours,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Lost And Delirious,lost and delirious,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Ferris Bueller's Day Off (1986),ferris bueller's day off,,
   Forgetting Sarah Marshall,forgetting sarah marshall,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Christmas Chronicles (Franchise),the christmas chronicles,"Adventure, Comedy, Family","acoustic,folk,ambient,upbeat,children,pop,singer-songwriter,kids,new-age,alternative,world-music,rock,fun"
   The Village (2004),the village,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   The Age of Adaline (2015),the age of adaline,"Drama, Fantasy, Romance","acoustic,piano,folk,ambient,romantic,epic-fantasy,singer-songwriter,soundtrack,pop,rock,indie-pop,alternative,world-music,r-n-b,indie,soul"
   Sleepy Hollow (1999),sleepy hollow,"Fantasy, Horror, Mystery","darkwave,folk,ambient,chill,metal,trip-hop,soundtrack,epic-fantasy,synthwave,downtempo,noise,alternative,dark-ambient,world-music,electronic,rock,industrial"
   Unbreakable (2000),unbreakable,"Drama, Mystery, Sci-Fi","acoustic,piano,chill,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,downtempo,space,alternative,dark-ambient,trip-hop,electronic,indie"
   The Karate Kid (2010),the karate kid,"Action, Drama, Family","piano,pop,indie-pop,upbeat,rock,folk,dubstep,singer-songwriter,kids,acoustic,hard-rock,metal,electronic,fun,punk,children,drum-and-bass,alternative,indie"
   Labyrinth (1986),labyrinth,"Action, Crime, Drama","acoustic,piano,punk,reggae,dubstep,hard-rock,alternative,singer-songwriter,trap,indie-pop,drum-and-bass,grime,hip-hop,rock,metal,electronic,indie"
   Moulin Rouge (2001),moulin rouge,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Horse Girl (2020),horse girl,"Drama, Mystery, Thriller","acoustic,piano,chill,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,downtempo,drum-and-bass,alternative,dark-ambient,trip-hop,electronic,indie"
   Manhattan (1979),manhattan,"Adventure, Comedy, Romance","acoustic,indie,folk,ambient,romantic,pop,singer-songwriter,new-age,alternative,world-music,r-n-b,rock,soul"
   Birdman or (The Unexpected Virtue of Ignorance) (2014),birdman or,,
   Martyrs (2008),martyrs,Horror,"darkwave,ambient,dark-ambient,noise,metal,electronic,industrial"
   PK (2014),pk,"Comedy, Drama, Sci-Fi","acoustic,piano,ambient,synth-pop,singer-songwriter,synthwave,retro,rock,indie-pop,space,alternative,chill,electronic,indie"
   Network (1976),network,"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   Father of the Bride (1991),father of the bride,"Comedy, Family, Romance","folk,children,pop,romantic,singer-songwriter,kids,upbeat,r-n-b,indie,fun,soul"
   Paranormal Activity,paranormal activity,"Horror, Mystery","darkwave,chill,ambient,synthwave,downtempo,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Sausage Party,sausage party,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Wild at Heart (1990),wild at heart,"Comedy, Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   The Nutty Professor (1996),the nutty professor,"Comedy, Romance, Sci-Fi","folk,ambient,romantic,pop,singer-songwriter,synthwave,synth-pop,electronic,retro,space,chill,r-n-b,indie,soul"
   The Vow (2012),the vow,"Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Paper Towns (2015),paper towns,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
"   Where’d You Go, Bernadette (2019)","where’d you go, bernadette",,
   Bedazzled (2000),bedazzled,"Comedy, Fantasy","folk,ambient,soundtrack,epic-fantasy,alternative,world-music,rock"
   Upgrade (2018),upgrade,"Action, Sci-Fi, Thriller","punk,ambient,dubstep,hard-rock,synth-pop,retro,synthwave,drum-and-bass,space,dark-ambient,rock,metal,chill,electronic"
   The Elephant Man (1980),the elephant man,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Malavita: The Family,malavita: the family,,
   Pay It Forward ( 2000 ),pay it forward,,
"   The Great Beauty (La grande bellezza, 2013)",the great beauty,,
   The Farewell (2019),the farewell,"Biography, Comedy, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   Reality Bites (1994),reality bites,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Social Network (2010),the social network,"Biography, Drama","acoustic,country,folk,piano,pop,singer-songwriter,rock,indie-pop,alternative,indie"
   The Thing (1982),the thing,"Horror, Mystery, Sci-Fi","darkwave,chill,ambient,synth-pop,retro,synthwave,downtempo,space,dark-ambient,noise,metal,trip-hop,electronic,industrial"
   Bird (1988),bird,"Biography, Drama, Music","acoustic,country,folk,piano,jazz,funk,blues,pop,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
   Drugstore Cowboy (1989),drugstore cowboy,"Crime, Drama","acoustic,piano,reggae,dubstep,singer-songwriter,trap,rock,indie-pop,drum-and-bass,grime,hip-hop,alternative,electronic,indie"
   Trainspotting,trainspotting,,
   Spanglish,spanglish,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   Ramo (2020),ramo,,
   The Gift (2015),the gift,"Action, Drama, Thriller","acoustic,piano,punk,ambient,dubstep,hard-rock,alternative,singer-songwriter,synthwave,indie-pop,drum-and-bass,dark-ambient,rock,metal,chill,electronic,indie"
   The Miseducation of Cameron Post (2018),the miseducation of cameron post,,
   Dumplin’ (2018),dumplin’,,
   The Grinch (2018),the grinch,"Animation, Comedy, Family","folk,children,pop,singer-songwriter,kids,upbeat,fun"
   The Proposal (2009),the proposal,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   He's Just Not That Into You,he's just not that into you,"Comedy, Drama, Romance","acoustic,piano,folk,romantic,pop,singer-songwriter,rock,indie-pop,alternative,r-n-b,indie,soul"
   The Darjeeling Limited (2007),the darjeeling limited,"Adventure, Comedy, Drama","acoustic,indie,folk,ambient,piano,singer-songwriter,indie-pop,new-age,alternative,world-music,rock"
   Uncle Frank,uncle frank,,
   Confessions of a Shopaholic,confessions of a shopaholic,"Comedy, Romance","folk,romantic,pop,singer-songwriter,r-n-b,indie,soul"
   The Last Laugh (1924),the last laugh,,
   Little Women (1933),little women,"Drama, Family, Romance","acoustic,piano,folk,children,pop,romantic,singer-songwriter,rock,indie-pop,kids,alternative,upbeat,r-n-b,indie,fun,soul"
   Hostiles (2017),hostiles,"Drama, Thriller","acoustic,piano,ambient,dubstep,singer-songwriter,synthwave,rock,indie-pop,drum-and-bass,alternative,dark-ambient,chill,electronic,indie"
   One Hundred and One Dalmatians (1961),one hundred and one dalmatians,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   UglyDolls,uglydolls,"Animation, Adventure, Comedy","acoustic,folk,ambient,new-age,alternative,world-music,rock"
   Dirty Dancing (1987),dirty dancing,"Drama, Music, Romance","acoustic,jazz,piano,folk,funk,blues,pop,romantic,singer-songwriter,rock,indie-pop,hip-hop,alternative,r-n-b,indie,soul"
"   Crouching Tiger, Hidden Dragon (2000)","crouching tiger, hidden dragon","Action, Adventure, Drama","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,piano,singer-songwriter,indie-pop,drum-and-bass,new-age,rock,metal,world-music,electronic,indie"
   The Piano Teacher (2001),the piano teacher,,
   Speak (2004),speak,,
   Would You Rather (2012),would you rather,"Horror, Thriller","darkwave,ambient,dubstep,synthwave,drum-and-bass,dark-ambient,noise,metal,chill,electronic,industrial"
   The Girl with the Dragon Tattoo (2011),the girl with the dragon tattoo,"Crime, Drama, Mystery","piano,downtempo,indie-pop,dubstep,singer-songwriter,synthwave,grime,dark-ambient,trip-hop,acoustic,reggae,ambient,trap,chill,electronic,alternative,drum-and-bass,hip-hop,rock,indie"
   The Day After Tomorrow (2004),the day after tomorrow,"Action, Adventure, Sci-Fi","acoustic,folk,punk,ambient,dubstep,hard-rock,alternative,chill,synth-pop,retro,synthwave,drum-and-bass,space,new-age,rock,metal,world-music,electronic"
   The Last Airbender (2010),the last airbender,"Action, Adventure, Family","pop,upbeat,rock,folk,dubstep,singer-songwriter,kids,acoustic,ambient,hard-rock,new-age,metal,world-music,electronic,fun,punk,children,drum-and-bass,alternative"
   Baywatch (2017),baywatch,"Action, Comedy, Crime","punk,reggae,dubstep,hard-rock,trap,drum-and-bass,grime,hip-hop,rock,metal,electronic"
